Vardas         Pavarde        ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egzaminas
Mantas         Zukauskas      6    10   7    4    5    6    10   3    10   7    6         
Lukas          Jonaitis       10   1    3    8    8    3    5    4    6    2    9         
Jonas          Stankevicius   4    2    4    2    5    9    1    6    2    9    7         
Lukas          Zukauskas      5    10   6    10   10   3    2    8    3    6    8         
Kazys          Kazlauskas     10   4    7    4    8    6    9    10   1    8    1         
Paulius        Kavolis        6    2    5    8    3    6    4    9    8    10   1         
Marius         Jankauskas     9    7    6    7    10   2    4    9    9    7    4         
Mantas         Kavolis        9    7    1    4    9    3    4    2    3    6    5         
Mantas         Brazinskas     3    6    5    8    10   4    10   8    4    9    5         
Tomas          Jonaitis       2    7    2    10   6    5    3    10   9    3    7         
Mantas         Kavaliauskas   5    6    2    10   1    1    3    5    6    10   2         
Mantas         Stankevicius   8    7    10   4    4    3    10   6    6    6    3         
Mantas         Zukauskas      2    9    2    9    8    7    8    2    4    5    9         
Kazys          Jonaitis       2    9    9    9    4    8    10   10   5    5    5         
Antanas        Kavolis        2    2    1    8    8    4    7    6    1    1    10        
Paulius        Kavolis        4    10   4    2    9    10   8    3    4    4    1         
Kazys          Jankauskas     9    1    9    5    9    5    10   10   9    7    1         
Kazys          Jonaitis       10   1    2    5    5    6    7    3    1    7    8         
Mantas         Zukauskas      4    5    4    3    4    9    10   4    6    8    3         
Petras         Kazlauskas     4    6    4    9    9    5    1    10   6    3    10        
Jonas          Jankauskas     1    1    2    6    8    9    7    3    5    5    6         
Kazys          Petraitis      8    4    5    1    4    8    1    6    7    5    6         
Darius         Petraitis      1    10   2    3    2    4    2    9    3    3    3         
Tomas          Kavolis        5    10   7    10   5    4    4    6    7    5    9         
Marius         Jankauskas     9    4    2    3    10   1    2    7    10   9    5         
Lukas          Kazlauskas     4    9    6    1    1    10   9    9    5    7    9         
Antanas        Kavolis        3    1    7    7    8    2    2    9    7    6    8         
Petras         Kavolis        5    3    2    7    1    10   5    2    2    1    3         
Paulius        Jankauskas     10   3    8    6    4    8    7    9    3    3    9         
Jonas          Zukauskas      2    4    1    4    10   5    7    1    9    5    5         
Tomas          Zukauskas      9    9    5    10   5    7    3    2    5    3    6         
Mantas         Petraitis      10   5    4    6    3    5    2    8    1    6    3         
Marius         Jonaitis       9    6    6    7    8    5    1    2    6    2    10        
Mantas         Brazinskas     7    3    3    3    1    1    7    10   4    10   6         
Marius         Kazlauskas     2    9    4    9    7    4    5    5    3    1    1         
Paulius        Jonaitis       6    10   1    2    4    1    1    2    2    1    1         
Darius         Stankevicius   6    3    3    2    3    9    7    3    2    5    9         
Mantas         Kavolis        7    5    1    7    1    8    2    1    6    10   8         
Paulius        Kavolis        10   3    4    1    4    8    3    4    2    7    3         
Mantas         Kavaliauskas   9    1    3    2    2    1    4    9    5    8    2         
Paulius        Zukauskas      9    1    8    4    1    4    5    1    10   7    8         
Antanas        Jonaitis       1    4    7    3    1    2    7    1    6    8    8         
Lukas          Jankauskas     5    1    4    3    2    2    10   6    9    7    1         
Lukas          Zukauskas      9    5    10   9    4    10   6    10   4    3    9         
Darius         Jonaitis       3    10   4    10   6    8    6    9    7    4    4         
Antanas        Kavolis        4    4    7    8    7    9    7    3    10   6    8         
Kazys          Zukauskas      7    2    4    3    2    2    2    9    1    8    5         
Antanas        Stankevicius   7    2    2    1    8    8    7    2    5    9    9         
Lukas          Kazlauskas     3    7    6    9    5    3    2    6    8    10   7         
Antanas        Brazinskas     6    6    9    8    5    6    9    2    9    9    4         
Kazys          Kavolis        4    6    5    3    4    4    1    8    6    5    8         
Jonas          Jankauskas     7    2    4    5    4    9    1    8    3    6    4         
Tomas          Kavaliauskas   7    9    5    3    5    8    5    8    5    7    5         
Lukas          Zukauskas      8    2    9    7    3    7    6    2    1    1    7         
Marius         Jankauskas     10   7    5    6    7    1    4    3    2    1    10        
Tomas          Petraitis      2    10   3    10   2    3    6    9    1    2    1         
Kazys          Kavolis        5    9    3    3    2    2    1    6    1    10   10        
Marius         Petraitis      2    4    2    9    10   5    9    2    10   9    8         
Darius         Kavaliauskas   9    1    9    10   6    2    3    1    8    9    9         
Jonas          Kazlauskas     8    6    2    3    2    6    6    3    6    4    4         
Marius         Petraitis      10   3    8    8    5    10   8    3    2    6    2         
Paulius        Kavolis        6    3    3    4    1    1    8    8    2    7    10        
Mantas         Kavolis        2    5    4    8    5    3    1    10   7    10   5         
Petras         Kavaliauskas   4    7    5    9    4    1    8    8    2    4    3         
Tomas          Zukauskas      9    1    6    8    10   6    3    5    4    1    8         
Darius         Jankauskas     5    3    7    3    8    9    6    2    10   6    3         
Darius         Jonaitis       6    9    5    10   7    3    1    1    6    7    9         
Marius         Jonaitis       10   10   10   9    10   9    10   3    4    1    3         
Tomas          Zukauskas      9    1    6    2    6    3    1    3    4    4    7         
Paulius        Jankauskas     5    4    4    9    8    5    4    9    10   7    5         
Marius         Kavolis        1    5    10   5    8    9    8    10   2    3    7         
Jonas          Petraitis      2    9    7    9    6    7    1    6    10   2    1         
Tomas          Petraitis      7    7    7    10   5    4    8    4    2    4    6         
Paulius        Brazinskas     6    8    8    2    7    1    4    4    2    6    3         
Lukas          Brazinskas     10   5    3    3    7    9    4    6    2    2    2         
Marius         Jonaitis       2    1    10   2    9    1    6    3    6    9    3         
Jonas          Jankauskas     8    3    10   5    3    10   6    7    3    9    3         
Tomas          Zukauskas      5    9    4    6    2    5    6    3    6    5    10        
Antanas        Jonaitis       1    8    4    4    9    1    5    2    4    8    7         
Kazys          Kavaliauskas   9    6    9    5    7    5    8    10   6    6    6         
Mantas         Zukauskas      2    6    4    3    6    4    10   4    7    5    3         
Kazys          Zukauskas      7    8    10   3    9    3    8    10   5    8    8         
Lukas          Zukauskas      6    6    8    10   6    6    10   6    2    8    8         
Darius         Brazinskas     5    4    10   5    1    5    7    4    3    1    6         
Mantas         Brazinskas     1    3    6    2    8    7    8    4    9    5    5         
Mantas         Kavaliauskas   1    4    5    9    8    9    3    4    1    2    6         
Jonas          Zukauskas      7    7    4    2    1    7    7    2    2    10   4         
Antanas        Brazinskas     10   3    8    10   4    9    2    1    6    5    1         
Tomas          Jankauskas     3    9    2    7    4    8    10   6    9    7    8         
Paulius        Kazlauskas     9    5    2    2    4    4    8    8    5    2    6         
Mantas         Jonaitis       6    7    7    4    9    4    2    4    10   4    2         
Kazys          Brazinskas     4    8    9    3    1    3    8    8    1    10   3         
Tomas          Jankauskas     6    10   4    6    3    8    7    2    5    7    10        
Tomas          Brazinskas     4    1    7    2    5    2    4    10   6    5    10        
Paulius        Petraitis      10   4    1    1    6    2    7    9    2    10   1         
Darius         Zukauskas      4    1    2    2    8    5    5    2    2    1    5         
Tomas          Stankevicius   7    6    9    9    6    6    8    4    10   10   6         
Darius         Kavolis        7    4    7    1    5    10   8    7    7    1    9         
Kazys          Brazinskas     4    3    5    6    7    10   3    8    4    1    10        
Mantas         Zukauskas      5    1    6    1    8    4    1    2    6    3    9         
Darius         Brazinskas     9    1    4    10   4    4    10   4    5    9    4         
Mantas         Kavaliauskas   1    3    5    6    5    1    1    2    10   3    6         
Jonas          Kazlauskas     6    1    5    10   7    3    3    5    6    9    4         
Mantas         Petraitis      2    5    6    5    10   3    5    10   3    4    9         
Mantas         Kavaliauskas   2    2    8    4    2    3    3    1    5    1    3         
Darius         Brazinskas     1    6    8    6    7    2    10   2    3    6    6         
Petras         Brazinskas     8    6    7    5    5    10   1    2    9    7    9         
Lukas          Stankevicius   3    2    3    9    5    1    9    3    4    9    4         
Antanas        Jonaitis       2    3    2    8    10   7    8    3    5    9    1         
Antanas        Stankevicius   7    5    4    8    10   1    1    4    4    2    5         
Antanas        Stankevicius   9    10   7    1    9    7    7    10   8    8    9         
Paulius        Kavaliauskas   2    1    8    8    10   7    3    8    3    7    7         
Jonas          Kavaliauskas   7    2    3    6    10   6    7    4    5    4    2         
Petras         Kavolis        8    10   3    2    7    2    4    8    6    9    6         
Marius         Stankevicius   8    9    8    7    10   2    2    3    4    3    8         
Darius         Petraitis      5    5    3    6    3    7    6    6    2    3    9         
Petras         Stankevicius   6    3    2    7    4    1    6    5    5    1    6         
Lukas          Jonaitis       8    8    3    1    1    5    2    7    5    7    1         
Antanas        Jankauskas     3    7    8    10   6    6    1    4    9    8    8         
Paulius        Jonaitis       9    7    4    5    1    6    6    4    2    7    4         
Petras         Kazlauskas     9    1    7    7    7    7    5    5    5    4    10        
Tomas          Petraitis      9    1    6    1    7    1    6    10   3    9    5         
Marius         Brazinskas     9    1    4    2    7    5    1    9    3    5    6         
Antanas        Jonaitis       1    4    8    7    3    2    5    4    5    8    1         
Darius         Brazinskas     7    5    9    7    9    7    8    9    2    7    7         
Lukas          Kavolis        1    6    5    8    6    2    7    6    3    3    8         
Paulius        Zukauskas      7    10   7    3    2    2    9    3    5    9    6         
Darius         Jankauskas     2    3    3    1    1    6    2    1    7    9    1         
Jonas          Kavolis        3    4    8    10   7    4    6    7    5    7    2         
Mantas         Jonaitis       7    8    4    9    5    10   1    4    5    5    4         
Tomas          Zukauskas      8    5    3    10   1    3    9    8    9    9    10        
Tomas          Zukauskas      1    9    5    1    7    2    5    1    3    8    4         
Paulius        Kazlauskas     5    5    1    4    10   7    6    5    2    7    1         
Kazys          Kavolis        4    3    3    7    10   6    9    3    8    4    5         
Tomas          Kavaliauskas   6    2    4    5    9    2    8    9    6    10   9         
Lukas          Stankevicius   7    10   1    6    1    1    1    10   5    4    4         
Marius         Brazinskas     8    4    1    2    5    2    1    8    2    1    8         
Kazys          Jankauskas     3    4    3    3    3    7    1    5    4    2    1         
Marius         Brazinskas     10   10   5    1    3    10   3    5    1    6    1         
Antanas        Jonaitis       6    6    4    8    6    3    8    6    9    2    2         
Tomas          Petraitis      6    6    8    3    5    6    2    7    2    5    9         
Marius         Kavaliauskas   5    6    6    7    8    9    2    10   5    10   9         
Jonas          Zukauskas      1    7    9    8    6    2    1    10   1    6    10        
Jonas          Kazlauskas     3    3    6    1    2    3    7    4    10   3    9         
Lukas          Jankauskas     3    6    7    4    2    1    7    7    8    9    6         
Antanas        Zukauskas      7    6    4    2    5    3    8    8    3    8    10        
Mantas         Stankevicius   2    7    5    2    1    8    5    1    6    8    9         
Antanas        Zukauskas      6    4    1    4    5    5    1    2    4    3    8         
Mantas         Petraitis      3    9    10   4    10   7    7    2    9    10   4         
Mantas         Stankevicius   9    8    7    10   6    7    5    5    5    7    6         
Tomas          Kavaliauskas   2    1    2    1    4    2    1    4    5    10   8         
Marius         Petraitis      5    1    8    6    8    5    10   8    9    2    5         
Darius         Petraitis      10   4    4    2    7    8    9    3    5    1    9         
Jonas          Jankauskas     2    10   10   1    3    2    9    9    9    2    8         
Petras         Jonaitis       10   9    7    3    4    8    9    3    2    6    8         
Mantas         Kavaliauskas   7    4    6    7    1    9    5    4    7    9    8         
Antanas        Kavaliauskas   5    2    3    10   8    10   1    6    10   9    10        
Kazys          Kavaliauskas   3    6    9    9    3    7    5    9    2    2    7         
Antanas        Zukauskas      7    10   8    9    2    5    1    6    8    3    1         
Mantas         Zukauskas      10   10   1    8    7    3    3    3    4    6    2         
Antanas        Kavolis        2    3    2    10   4    9    8    4    2    5    2         
Mantas         Zukauskas      4    2    8    1    9    10   8    8    5    6    3         
Paulius        Petraitis      4    3    8    6    7    8    9    8    6    4    8         
Paulius        Kazlauskas     6    3    2    9    1    2    9    3    9    7    2         
Tomas          Jonaitis       9    8    2    2    10   9    5    8    9    3    4         
Paulius        Kavaliauskas   5    6    4    6    10   10   6    3    10   7    1         
Kazys          Jonaitis       6    4    9    8    5    3    1    4    4    3    5         
Mantas         Zukauskas      9    3    5    1    9    8    10   9    9    2    1         
Tomas          Kavaliauskas   1    4    10   9    7    7    3    2    2    4    8         
Marius         Zukauskas      7    9    9    8    2    10   6    10   9    5    5         
Mantas         Kazlauskas     8    3    3    6    5    5    3    6    10   7    2         
Petras         Zukauskas      4    3    5    1    1    5    6    9    7    5    10        
Kazys          Kavaliauskas   4    6    3    3    1    8    2    7    7    9    9         
Paulius        Zukauskas      8    2    9    10   7    10   8    4    7    7    8         
Kazys          Jonaitis       1    9    7    4    8    8    8    8    1    4    2         
Darius         Petraitis      1    5    2    6    5    1    5    5    3    9    3         
Darius         Zukauskas      5    8    3    3    8    7    5    5    8    6    7         
Marius         Kazlauskas     7    9    5    8    4    6    6    9    2    3    3         
Mantas         Zukauskas      3    4    10   1    3    4    6    2    4    10   8         
Paulius        Stankevicius   4    4    8    4    8    7    10   5    8    9    9         
Lukas          Zukauskas      3    4    8    9    5    1    1    1    10   3    2         
Antanas        Kazlauskas     9    1    10   2    4    8    1    4    1    8    2         
Antanas        Kavaliauskas   8    9    3    5    9    8    1    3    6    1    9         
Antanas        Kavolis        3    7    1    1    7    1    2    9    6    5    8         
Mantas         Kavaliauskas   6    7    1    6    7    8    3    7    2    4    3         
Petras         Zukauskas      4    1    4    6    7    9    8    10   9    8    5         
Jonas          Zukauskas      1    6    1    2    4    9    9    8    9    5    5         
Paulius        Jankauskas     1    1    4    1    3    4    6    10   9    7    6         
Tomas          Zukauskas      1    4    4    5    5    3    2    2    3    5    7         
Jonas          Brazinskas     9    8    1    3    7    1    7    6    6    10   10        
Kazys          Jankauskas     6    10   8    6    7    4    10   5    9    2    8         
Antanas        Stankevicius   6    1    9    5    3    9    1    7    4    9    1         
Lukas          Petraitis      6    1    3    6    8    3    8    1    2    9    10        
Kazys          Jonaitis       1    10   4    2    2    4    6    6    8    6    8         
Marius         Kavaliauskas   10   7    1    3    5    9    8    7    7    4    3         
Petras         Petraitis      3    5    4    10   10   7    7    4    4    5    7         
Kazys          Jankauskas     6    1    1    1    1    6    9    7    9    3    8         
Paulius        Stankevicius   2    3    2    1    7    1    5    7    2    5    6         
Tomas          Brazinskas     10   1    9    8    10   4    7    4    9    8    8         
Mantas         Jankauskas     5    10   8    2    8    4    2    5    10   2    8         
Antanas        Kavaliauskas   4    9    3    1    9    5    1    5    6    7    3         
Darius         Kavaliauskas   7    1    4    5    7    8    7    8    10   8    10        
Lukas          Zukauskas      2    5    1    3    5    4    9    3    9    5    7         
Marius         Petraitis      3    6    2    4    4    10   3    2    7    4    9         
Mantas         Jonaitis       4    9    5    4    10   2    9    8    7    7    8         
Darius         Jonaitis       8    10   7    2    9    7    7    2    5    3    4         
Antanas        Stankevicius   5    10   10   8    6    1    9    2    10   3    3         
Kazys          Zukauskas      4    2    2    10   9    4    8    7    8    6    7         
Mantas         Petraitis      2    5    3    4    10   6    9    6    7    10   1         
Lukas          Kazlauskas     1    10   4    9    9    5    9    7    4    8    1         
Tomas          Kazlauskas     9    8    7    1    7    1    7    5    2    8    6         
Darius         Jankauskas     3    10   3    5    3    8    6    4    5    4    2         
Tomas          Kazlauskas     6    4    1    3    10   9    4    4    7    7    4         
Paulius        Jonaitis       2    3    9    7    2    1    10   9    10   5    5         
Jonas          Kazlauskas     3    8    2    9    3    10   3    1    6    5    4         
Antanas        Kavolis        5    9    4    9    4    7    10   4    4    2    9         
Mantas         Kavolis        3    7    4    7    7    5    7    6    5    2    5         
Jonas          Kavaliauskas   7    10   4    2    6    8    9    8    1    1    2         
Petras         Jonaitis       8    8    9    7    9    6    3    4    5    3    6         
Marius         Brazinskas     10   1    9    9    7    1    10   5    3    8    6         
Darius         Kazlauskas     10   4    9    6    4    2    10   9    8    10   6         
Kazys          Kazlauskas     6    7    2    3    1    10   9    2    1    5    9         
Darius         Stankevicius   10   4    6    2    3    9    2    1    9    9    4         
Jonas          Kavolis        7    8    3    9    10   10   9    5    3    4    2         
Jonas          Zukauskas      3    5    8    10   5    10   8    9    2    1    10        
Tomas          Kazlauskas     6    7    8    10   8    4    3    7    4    7    3         
Kazys          Jankauskas     5    1    9    8    5    3    6    8    1    7    6         
Jonas          Brazinskas     3    1    5    6    1    6    10   6    5    5    6         
Antanas        Jankauskas     4    9    1    4    4    5    8    8    2    1    5         
Petras         Brazinskas     9    3    8    3    4    7    8    1    2    6    4         
Petras         Brazinskas     4    5    7    9    3    6    7    1    4    1    2         
Darius         Kavolis        10   9    7    6    6    4    2    3    7    5    8         
Kazys          Petraitis      2    8    4    4    4    3    2    8    2    10   2         
Tomas          Jonaitis       3    8    3    5    4    1    10   8    6    10   8         
Paulius        Jankauskas     4    8    6    8    8    1    4    8    7    5    8         
Paulius        Kazlauskas     1    6    3    7    7    10   7    4    5    8    7         
Marius         Jankauskas     8    10   8    4    6    2    3    9    10   6    6         
Petras         Brazinskas     10   3    8    3    2    8    1    7    10   6    7         
Paulius        Kavolis        3    3    2    7    4    6    7    7    10   3    8         
Lukas          Kazlauskas     10   1    4    5    4    1    8    1    4    5    6         
Kazys          Kazlauskas     9    8    10   9    1    9    2    2    10   5    7         
Mantas         Jankauskas     1    10   2    8    3    8    5    9    6    1    3         
Tomas          Jonaitis       7    6    7    1    1    5    8    1    8    8    5         
Marius         Kavaliauskas   3    2    7    5    2    8    4    3    3    9    1         
Antanas        Jonaitis       3    5    1    9    10   8    2    2    8    2    8         
Darius         Brazinskas     3    6    6    5    2    10   4    5    1    9    5         
Lukas          Kavolis        10   4    1    8    8    5    10   4    2    10   8         
Lukas          Kavaliauskas   10   2    3    3    4    4    1    1    6    1    5         
Lukas          Jankauskas     9    6    3    4    3    8    4    8    9    4    3         
Jonas          Jankauskas     7    1    2    10   10   10   6    7    2    4    2         
Darius         Stankevicius   9    5    8    4    7    9    3    4    6    3    4         
Jonas          Kavaliauskas   1    9    5    5    1    2    8    9    1    6    1         
Tomas          Kazlauskas     6    3    8    6    8    5    3    7    4    5    9         
Petras         Zukauskas      6    9    5    4    5    10   3    10   8    7    6         
Tomas          Kazlauskas     5    5    10   8    1    6    6    1    10   9    2         
Petras         Zukauskas      6    8    2    6    8    6    4    7    7    8    6         
Kazys          Zukauskas      6    6    7    4    8    8    8    10   10   7    4         
Jonas          Jankauskas     3    3    8    4    9    10   7    8    8    9    5         
Lukas          Kazlauskas     1    10   3    1    4    3    2    6    6    7    4         
Paulius        Kazlauskas     10   10   2    1    10   6    7    10   9    4    4         
Mantas         Petraitis      8    10   1    2    6    3    5    4    3    6    1         
Tomas          Jankauskas     8    2    2    10   2    6    1    10   9    9    10        
Jonas          Brazinskas     1    7    6    1    9    5    8    6    1    7    10        
Antanas        Zukauskas      6    3    9    3    6    3    2    7    10   8    2         
Petras         Stankevicius   9    10   7    9    6    3    10   3    5    10   9         
Paulius        Jankauskas     8    10   7    9    5    10   5    9    5    6    6         
Mantas         Kavolis        4    10   3    4    8    10   9    5    2    1    7         
Petras         Brazinskas     7    3    7    3    10   7    6    6    7    4    3         
Kazys          Zukauskas      5    6    4    9    9    4    9    7    5    3    1         
Jonas          Petraitis      3    9    9    2    9    7    8    10   2    2    9         
Antanas        Zukauskas      6    10   9    7    4    8    5    6    2    1    1         
Paulius        Kazlauskas     5    5    7    10   1    5    3    6    4    1    5         
Petras         Kavaliauskas   4    1    10   4    10   9    6    2    7    6    1         
Lukas          Kazlauskas     4    8    4    6    10   9    10   8    10   1    5         
Tomas          Jonaitis       10   5    2    7    10   6    5    7    6    8    2         
Kazys          Brazinskas     3    1    2    8    7    4    8    1    6    3    3         
Antanas        Kavolis        2    3    8    3    6    9    1    5    9    4    4         
Mantas         Jankauskas     3    4    7    7    1    1    9    6    9    8    2         
Kazys          Kazlauskas     7    3    9    10   2    3    1    2    8    3    10        
Tomas          Zukauskas      8    5    5    3    3    10   4    1    2    9    1         
Mantas         Kazlauskas     1    2    6    1    8    5    9    5    1    7    1         
Paulius        Kavaliauskas   6    9    2    6    10   3    8    6    1    9    1         
Petras         Jonaitis       6    6    6    4    10   4    10   7    6    3    5         
Paulius        Kazlauskas     1    5    6    8    2    8    1    2    7    9    1         
Lukas          Kazlauskas     7    9    5    1    9    2    3    1    3    10   4         
Petras         Kavaliauskas   6    7    9    3    1    7    4    8    10   8    2         
Mantas         Zukauskas      9    3    3    8    5    1    9    9    5    2    10        
Darius         Kavaliauskas   8    5    4    10   7    1    8    3    3    10   10        
Antanas        Kavolis        8    1    2    8    6    7    10   4    1    5    9         
Lukas          Petraitis      5    3    9    3    2    2    7    10   2    8    8         
Mantas         Kazlauskas     6    1    4    5    9    10   7    5    7    2    6         
Marius         Stankevicius   2    3    4    7    1    2    3    4    3    2    7         
Jonas          Kavolis        5    6    7    3    5    6    9    4    5    5    6         
Petras         Stankevicius   9    2    4    7    9    4    5    7    10   2    6         
Kazys          Stankevicius   3    6    7    9    6    5    6    2    5    6    2         
Mantas         Jonaitis       1    4    4    10   5    10   5    10   5    2    4         
Tomas          Petraitis      1    7    4    2    2    7    5    6    4    6    10        
Antanas        Stankevicius   3    9    10   3    4    5    9    3    8    8    4         
Petras         Zukauskas      6    4    1    10   10   6    9    10   4    3    9         
Paulius        Zukauskas      10   7    6    2    8    10   7    8    8    5    2         
Petras         Kavaliauskas   7    4    9    8    3    6    6    1    3    3    1         
Petras         Kavaliauskas   1    9    4    3    3    5    1    6    4    7    3         
Mantas         Kavolis        5    7    8    1    8    9    2    1    8    3    5         
Petras         Stankevicius   3    8    8    9    5    3    8    8    8    5    2         
Lukas          Zukauskas      10   7    2    4    3    2    5    3    2    8    3         
Lukas          Kazlauskas     3    2    4    5    4    2    3    1    5    1    5         
Petras         Zukauskas      4    2    1    6    6    3    9    5    9    9    10        
Antanas        Zukauskas      1    2    1    9    8    8    10   6    7    9    10        
Petras         Brazinskas     6    3    8    5    6    5    8    5    1    6    2         
Jonas          Jankauskas     6    1    4    5    10   9    2    8    6    9    8         
Antanas        Stankevicius   1    7    2    4    2    10   10   7    3    10   7         
Mantas         Jonaitis       3    2    7    6    1    3    8    10   4    3    4         
Tomas          Jankauskas     9    6    3    10   1    9    3    7    9    1    9         
Paulius        Jankauskas     10   7    1    7    7    10   8    4    10   1    7         
Mantas         Stankevicius   10   7    10   10   5    4    8    5    7    1    8         
Lukas          Jonaitis       3    8    1    2    4    1    2    2    6    6    10        
Lukas          Kavolis        10   2    6    7    7    7    6    5    10   4    5         
Paulius        Jonaitis       7    5    5    5    4    9    8    3    7    9    7         
Darius         Zukauskas      3    5    2    5    1    3    6    4    4    6    7         
Marius         Jonaitis       2    7    4    7    10   8    7    2    9    8    6         
Tomas          Petraitis      7    9    5    5    6    1    4    7    7    8    7         
Kazys          Petraitis      3    3    5    10   8    6    5    9    7    9    3         
Darius         Stankevicius   10   8    8    9    6    10   5    1    6    1    5         
Antanas        Jankauskas     1    4    5    6    1    9    10   2    3    6    10        
Paulius        Stankevicius   9    5    3    7    3    7    10   4    1    5    5         
Petras         Jonaitis       4    8    6    9    8    5    1    7    6    3    5         
Tomas          Kavaliauskas   9    6    1    1    3    9    6    4    2    6    7         
Kazys          Jankauskas     2    3    9    3    7    2    4    2    6    9    1         
Paulius        Brazinskas     9    7    9    8    8    8    10   10   6    10   9         
Kazys          Jonaitis       3    5    10   6    7    9    7    7    8    1    4         
Kazys          Stankevicius   1    5    1    6    2    3    1    9    9    1    9         
Antanas        Jonaitis       1    1    8    5    10   4    1    2    4    10   10        
Kazys          Stankevicius   2    8    3    4    9    2    1    2    7    7    1         
Petras         Brazinskas     8    5    7    4    1    6    3    2    7    7    8         
Paulius        Kazlauskas     2    3    5    5    6    7    2    5    1    9    9         
Mantas         Brazinskas     4    7    7    10   10   5    4    6    10   6    1         
Antanas        Jankauskas     7    9    6    5    8    9    9    2    7    6    8         
Darius         Stankevicius   2    3    2    2    4    9    8    5    1    7    6         
Mantas         Jonaitis       3    3    1    7    4    8    2    5    5    9    4         
Antanas        Kavaliauskas   1    2    3    7    4    6    1    8    8    4    2         
Darius         Jankauskas     5    8    9    6    5    6    1    3    6    5    3         
Antanas        Kavaliauskas   9    5    10   6    9    10   8    2    10   8    10        
Jonas          Zukauskas      6    5    7    3    8    9    5    10   8    7    10        
Petras         Kavolis        8    3    1    6    7    1    9    5    1    1    1         
Jonas          Jonaitis       7    9    9    10   9    4    3    3    8    8    3         
Paulius        Petraitis      3    9    10   10   1    10   2    8    2    2    9         
Paulius        Kazlauskas     3    5    1    4    10   2    8    3    1    1    3         
Lukas          Petraitis      6    9    3    1    7    6    7    7    7    10   1         
Marius         Jonaitis       9    9    5    4    7    10   10   5    9    4    4         
Tomas          Brazinskas     1    5    2    2    3    9    2    4    4    9    3         
Paulius        Kazlauskas     3    5    4    6    5    9    6    9    6    9    5         
Kazys          Stankevicius   5    8    1    9    7    10   4    8    5    8    1         
Lukas          Jonaitis       5    8    6    8    9    7    8    2    9    2    7         
Kazys          Kazlauskas     7    8    4    8    6    3    5    4    6    10   8         
Jonas          Kavaliauskas   7    5    2    3    10   7    2    9    2    1    3         
Kazys          Petraitis      3    5    4    7    3    9    4    6    3    8    2         
Darius         Jonaitis       7    5    4    5    6    9    5    6    4    10   10        
Tomas          Stankevicius   6    1    1    10   9    3    5    7    3    4    1         
Kazys          Kazlauskas     3    3    1    7    10   7    3    6    4    9    1         
Kazys          Brazinskas     3    9    4    8    8    10   5    4    6    2    4         
Tomas          Jankauskas     9    3    1    7    5    7    7    1    10   9    3         
Jonas          Zukauskas      4    1    1    10   8    8    7    5    9    1    7         
Petras         Kavolis        3    5    3    4    9    1    2    2    7    7    5         
Mantas         Kazlauskas     2    1    10   1    6    4    5    10   9    8    10        
Mantas         Brazinskas     2    8    10   7    6    10   5    5    10   9    7         
Paulius        Stankevicius   9    1    4    8    7    1    8    5    7    7    1         
Marius         Kavaliauskas   10   2    7    2    8    9    4    3    6    10   2         
Marius         Zukauskas      10   6    3    1    10   2    10   10   6    10   5         
Mantas         Kazlauskas     9    4    4    7    8    5    3    2    5    8    8         
Jonas          Brazinskas     10   4    1    1    7    6    1    3    9    6    6         
Darius         Brazinskas     5    4    6    9    6    3    5    1    6    6    9         
Marius         Petraitis      6    8    6    10   6    7    2    1    7    1    6         
Antanas        Kavaliauskas   10   6    7    10   6    1    10   6    7    4    1         
Petras         Jonaitis       9    6    5    8    8    9    9    8    10   1    9         
Petras         Zukauskas      7    5    10   3    4    2    1    4    5    9    10        
Darius         Kavaliauskas   7    1    7    5    8    9    9    10   2    9    6         
Darius         Zukauskas      5    9    8    3    5    5    1    1    10   3    6         
Paulius        Kavolis        1    4    2    2    5    1    8    9    4    1    5         
Mantas         Jankauskas     8    2    4    3    3    7    3    8    9    4    10        
Jonas          Kazlauskas     5    2    10   9    4    9    2    5    3    9    6         
Antanas        Brazinskas     3    3    5    5    10   5    10   6    5    6    4         
Marius         Kavolis        4    9    7    1    4    9    2    10   10   8    7         
Antanas        Jonaitis       7    9    4    3    9    1    9    10   9    4    3         
Mantas         Kazlauskas     4    6    7    10   8    4    8    2    2    10   4         
Mantas         Brazinskas     7    8    1    1    4    8    9    5    3    1    2         
Lukas          Kavolis        4    4    7    10   9    9    5    4    6    10   3         
Tomas          Petraitis      1    6    1    9    5    6    1    8    3    1    3         
Antanas        Stankevicius   7    3    10   2    2    9    8    10   7    4    7         
Jonas          Zukauskas      7    8    3    3    6    2    2    8    10   3    10        
Paulius        Kazlauskas     8    3    2    6    5    3    7    8    1    3    10        
Antanas        Kazlauskas     2    5    5    3    3    7    4    8    5    4    8         
Darius         Jankauskas     10   5    8    2    6    5    1    10   5    8    1         
Jonas          Jonaitis       6    4    2    1    3    6    3    7    3    1    10        
Petras         Stankevicius   8    9    6    8    7    10   5    4    10   4    6         
Lukas          Jonaitis       9    2    1    7    5    9    1    1    7    8    3         
Tomas          Kavaliauskas   3    2    7    8    10   7    2    6    7    10   4         
Mantas         Brazinskas     9    1    6    5    2    8    4    9    1    7    10        
Mantas         Brazinskas     5    5    6    4    10   10   10   2    5    9    8         
Mantas         Stankevicius   3    5    10   7    10   3    9    5    9    6    3         
